@relation dados

@attribute loja {SantanaShopping, PinheirosShopping}
@attribute mes {Fevereiro, Marco}
@attribute hora {Manha, Tarde, Noite}
@attribute fluxo {SemFluxo, FluxoBaixo, FluxoModerado, FluxoAlto}
@attribute fluxoVitrine {VitrineNenhumMovimento, VitrineBaixo, VitrineMedio, VitrineAlto}
@attribute temperatura {Frio, Normal, Quente}
@attribute chuva {MuitaChuva,Chuva,Sol}
@attribute atendimento {Nenhum,1-5,6-10,11-14,15-19}

@data
SantanaShopping,Marco,Tarde,FluxoModerado,VitrineMedio,Normal,Chuva,6-10
SantanaShopping,Marco,Tarde,FluxoModerado,VitrineMedio,Frio,MuitaChuva,6-10
SantanaShopping,Marco,Tarde,FluxoModerado,VitrineMedio,Frio,MuitaChuva,6-10
SantanaShopping,Fevereiro,Tarde,FluxoModerado,VitrineMedio,Normal,Chuva,6-10
SantanaShopping,Marco,Manha,FluxoModerado,VitrineMedio,Normal,Chuva,6-10
SantanaShopping,Fevereiro,Tarde,FluxoModerado,VitrineMedio,Frio,Chuva,1-5
SantanaShopping,Fevereiro,Noite,FluxoModerado,VitrineMedio,Quente,Sol,6-10
SantanaShopping,Marco,Noite,FluxoModerado,VitrineMedio,Quente,Sol,1-5
SantanaShopping,Fevereiro,Tarde,FluxoModerado,VitrineMedio,Normal,Sol,1-5
SantanaShopping,Marco,Noite,FluxoModerado,VitrineMedio,Quente,MuitaChuva,1-5
SantanaShopping,Fevereiro,Noite,FluxoModerado,VitrineMedio,Quente,MuitaChuva,1-5
SantanaShopping,Marco,Tarde,FluxoModerado,VitrineMedio,Normal,Chuva,6-10
