@relation dados

@attribute Loja {SantanaShopping, PinheirosShopping}
@attribute DiaDaSemana {segunda-feira, terca-feira, quarta-feira, quinta-feira, sexta-feira, Sabado, domingo}
@attribute Mes {Fevereiro, Marco}
@attribute PeriodoDoDia {Manha, Tarde, Noite}
@attribute Fluxo {SemFluxo, FluxoBaixo, FluxoModerado, FluxoAlto}
@attribute FluxoDaVitrine {VitrineNenhumMovimento, VitrineBaixo, VitrineMedio, VitrineAlto}
@attribute Temperatura {Frio, Morno, Quente, MuitoQuente}
@attribute PrevisaoDoTempo {SemChuva, PoucaChuva, ChuvaLeve, ChuvaModerada, ChuvaForte, Tempestade}
@attribute Atendimentos {SemAtendimento, 1-3Atendimentos, 4-6Atendimentos, 7-9Atendimentos, 10-12Atendimentos, 13-15Atendimentos, 19Atendimentos}

@data
SantanaShopping,sexta-feira,Fevereiro,Manha,FluxoBaixo,VitrineBaixo,Morno,SemChuva,1-3Atendimentos
SantanaShopping,sexta-feira,Fevereiro,Manha,FluxoBaixo,VitrineBaixo,Morno,SemChuva,1-3Atendimentos
SantanaShopping,sexta-feira,Fevereiro,Tarde,FluxoModerado,VitrineBaixo,Morno,SemChuva,4-6Atendimentos
SantanaShopping,sexta-feira,Fevereiro,Tarde,FluxoModerado,VitrineMedio,Morno,SemChuva,7-9Atendimentos
SantanaShopping,sexta-feira,Fevereiro,Tarde,FluxoModerado,VitrineMedio,Morno,SemChuva,4-6Atendimentos
SantanaShopping,sexta-feira,Fevereiro,Tarde,FluxoBaixo,VitrineBaixo,Morno,SemChuva,1-3Atendimentos
SantanaShopping,sexta-feira,Fevereiro,Tarde,FluxoModerado,VitrineMedio,Morno,SemChuva,4-6Atendimentos
SantanaShopping,sexta-feira,Fevereiro,Tarde,FluxoBaixo,VitrineBaixo,MuitoQuente,SemChuva,4-6Atendimentos
SantanaShopping,sexta-feira,Fevereiro,Noite,FluxoModerado,VitrineMedio,MuitoQuente,SemChuva,4-6Atendimentos
SantanaShopping,sexta-feira,Fevereiro,Noite,FluxoBaixo,VitrineMedio,MuitoQuente,SemChuva,4-6Atendimentos
SantanaShopping,sexta-feira,Fevereiro,Noite,FluxoModerado,VitrineAlto,MuitoQuente,SemChuva,4-6Atendimentos
SantanaShopping,sexta-feira,Fevereiro,Noite,FluxoBaixo,VitrineBaixo,MuitoQuente,SemChuva,SemAtendimento
SantanaShopping,Sabado,Fevereiro,Manha,FluxoBaixo,VitrineMedio,Morno,SemChuva,1-3Atendimentos
SantanaShopping,Sabado,Fevereiro,Manha,FluxoBaixo,VitrineMedio,Morno,SemChuva,1-3Atendimentos
SantanaShopping,Sabado,Fevereiro,Manha,FluxoBaixo,VitrineMedio,Quente,SemChuva,4-6Atendimentos
SantanaShopping,Sabado,Fevereiro,Tarde,FluxoBaixo,VitrineMedio,Quente,SemChuva,4-6Atendimentos
SantanaShopping,Sabado,Fevereiro,Tarde,FluxoModerado,VitrineAlto,Quente,SemChuva,13-15Atendimentos
SantanaShopping,Sabado,Fevereiro,Tarde,FluxoModerado,VitrineAlto,Quente,SemChuva,7-9Atendimentos
SantanaShopping,Sabado,Fevereiro,Tarde,FluxoAlto,VitrineAlto,Quente,SemChuva,7-9Atendimentos
SantanaShopping,Sabado,Fevereiro,Tarde,FluxoModerado,VitrineAlto,Quente,SemChuva,10-12Atendimentos
