@relation dados

@attribute loja {ShoppingA, ShoppingB}
@attribute diaSemana {segunda, terca, quarta, quinta, sexta, sabado, domingo}
@attribute diaMes real
@attribute mes {Fevereiro, Marco}
@attribute hora real
@attribute fluxo real
@attribute fluxoVitrine real
@attribute temperatura real
@attribute umidade real
@attribute nebulosidade real
@attribute chuva real
@attribute atendimento {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}

@data
ShoppingA,quarta,22,Fevereiro,22,1,42,31.4,33,8,0.0,0
ShoppingA,quinta,23,Fevereiro,10,25,398,23.5,73,1,0.5,0
ShoppingA,quinta,23,Fevereiro,11,19,81,23.5,73,1,0.5,2
ShoppingA,quinta,23,Fevereiro,12,34,76,26.7,58,3,0.5,2
ShoppingA,quinta,23,Fevereiro,13,21,73,26.7,58,3,0.5,6
ShoppingA,quinta,23,Fevereiro,14,31,168,26.7,58,3,0.5,2
ShoppingA,quinta,23,Fevereiro,15,39,130,26.7,58,3,0.5,3
ShoppingA,quinta,23,Fevereiro,16,29,113,26.7,58,3,0.5,0
ShoppingA,quinta,23,Fevereiro,17,43,81,26.7,58,3,0.5,5
ShoppingA,quinta,23,Fevereiro,18,32,73,31.6,40,6,0.5,6
ShoppingA,quinta,23,Fevereiro,19,53,104,31.6,40,6,0.5,6
ShoppingA,quinta,23,Fevereiro,20,30,221,31.6,40,6,0.5,6
ShoppingA,quinta,23,Fevereiro,21,27,125,31.6,40,6,0.5,7
ShoppingA,quinta,23,Fevereiro,22,1,10,31.6,40,6,0.5,0
ShoppingA,sexta,24,Fevereiro,10,13,176,26.7,60,5,0.0,3
ShoppingA,sexta,24,Fevereiro,11,22,27,26.7,60,5,0.0,2
ShoppingA,sexta,24,Fevereiro,12,28,128,26.8,61,10,0.0,4
ShoppingA,sexta,24,Fevereiro,13,48,216,26.8,61,10,0.0,9
ShoppingA,sexta,24,Fevereiro,14,47,106,26.8,61,10,0.0,10
ShoppingA,sexta,24,Fevereiro,15,56,115,26.8,61,10,0.0,7
ShoppingA,sexta,24,Fevereiro,16,53,110,26.8,61,10,0.0,6
ShoppingA,sexta,24,Fevereiro,17,53,148,26.8,61,10,0.0,6
ShoppingA,sexta,24,Fevereiro,18,33,92,27.5,65,10,0.0,6
ShoppingA,sexta,24,Fevereiro,19,51,132,27.5,65,10,0.0,5
ShoppingA,sexta,24,Fevereiro,20,41,137,27.5,65,10,0.0,5
ShoppingA,sexta,24,Fevereiro,21,47,203,27.5,65,10,0.0,12
ShoppingA,sexta,24,Fevereiro,22,22,15,27.5,65,10,0.0,1
ShoppingA,sabado,25,Fevereiro,10,11,102,20.4,86,10,34.8,0
ShoppingA,sabado,25,Fevereiro,11,22,51,20.4,86,10,34.8,6
ShoppingA,sabado,25,Fevereiro,12,62,165,21.5,78,10,34.8,14
ShoppingA,sabado,25,Fevereiro,13,95,176,21.5,78,10,34.8,7
ShoppingA,sabado,25,Fevereiro,14,84,278,21.5,78,10,34.8,12
ShoppingA,sabado,25,Fevereiro,15,88,289,21.5,78,10,34.8,5
ShoppingA,sabado,25,Fevereiro,16,67,267,21.5,78,10,34.8,7
ShoppingA,sabado,25,Fevereiro,17,57,33,21.5,78,10,34.8,6
ShoppingA,sabado,25,Fevereiro,18,72,226,21.5,88,10,34.8,3
